ATTR2,胃の悪性新生物_男,胃の悪性新生物_女,大腸の悪性新生物_男,大腸の悪性新生物_女,肺の悪性新生物_男,肺の悪性新生物_女,子宮の悪性新生物_女,乳房の悪性新生物_男,乳房の悪性新生物_女,肝臓の悪性新生物_男,肝臓の悪性新生物_女
北区,26.8,10,20.4,12.7,42.5,10.3,4.9,0,13.3,20.1,10
都島区,26.8,10.9,28.7,15.6,45.8,14.3,4,0,11.6,18.4,7.5
福島区,34,13.4,29,8.6,47.7,19.3,5,0,10.1,25.1,9.2
此花区,36.7,8.8,27.8,14.8,65.2,16.2,7.7,0.4,7.6,21.1,9.1
中央区,28,9.6,15.7,16.5,46.2,12.8,4.7,0,14.6,22.7,8.1
西区,31,12.1,26,13.8,45,15.8,9,0,14.4,20.7,7
港区,28.7,6.6,29.4,12.8,51.2,15.6,4.3,0,9.4,23.3,7.7
大正区,26.2,5.6,31.1,15.8,56.7,19.2,4.5,0,13.3,27.6,10.8
天王寺区,24.4,10.9,21.2,12.1,47.1,10.6,2,0,15.8,22.9,7.1
浪速区,37.9,13.4,29.7,16.2,49.9,24.8,11,0,5.3,32.5,12
西淀川区,36.4,11.3,25.6,10.8,47.7,14.6,7,0,9.7,27.8,7.8
淀川区,30.6,10.8,21.1,17.4,51.8,16.9,5.3,0,9.6,18.6,9.3
東淀川区,27.8,6.7,21.9,14.1,48,16.1,5.7,0,11.2,22.9,6.3
東成区,25.4,9.8,21.3,11.8,42.8,12,4.3,0,10.5,21.3,7.1
生野区,24.4,8.5,25.6,9.6,43.3,14,3.1,0,9.2,23.2,7
旭区,22.6,9.2,26.9,16.4,50,13.6,6.8,0,17.2,25.1,5.4
城東区,32.1,12.7,24.2,13.2,45.8,12.8,4.3,0.2,12.9,21.4,5.5
鶴見区,31,7,22.4,13.3,54,12.7,4.3,0,9.1,24.1,5.7
阿倍野区,27.2,11.1,25.8,12.6,45.7,12.9,5.4,0,11.5,15.9,6
住之江区,27.9,10.8,26.6,15,49.3,17.9,2.9,0,12.7,24,6.6
住吉区,28.2,11.1,27.9,15.6,53.3,15.3,5.9,0,15.6,18.1,6.1
東住吉区,30.2,11.7,21.4,16.4,52.5,17.1,5.4,0.4,11.3,22.1,6.7
平野区,28.2,11.2,26.1,15.9,50.1,16.4,5.9,0,10.4,24.7,7.1
西成区,32.6,12.6,31.2,16.7,49.7,25.3,10.4,0.1,11.5,30.3,13.1
