ATTR2,胃の悪性新生物_女,大腸の悪性新生物_女,肺の悪性新生物_女,子宮の悪性新生物_女,乳房の悪性新生物_女,肝臓の悪性新生物_女
北区,10,12.7,10.3,4.9,13.3,10
都島区,10.9,15.6,14.3,4,11.6,7.5
福島区,13.4,8.6,19.3,5,10.1,9.2
此花区,8.8,14.8,16.2,7.7,7.6,9.1
中央区,9.6,16.5,12.8,4.7,14.6,8.1
西区,12.1,13.8,15.8,9,14.4,7
港区,6.6,12.8,15.6,4.3,9.4,7.7
大正区,5.6,15.8,19.2,4.5,13.3,10.8
天王寺区,10.9,12.1,10.6,2,15.8,7.1
浪速区,13.4,16.2,24.8,11,5.3,12
西淀川区,11.3,10.8,14.6,7,9.7,7.8
淀川区,10.8,17.4,16.9,5.3,9.6,9.3
東淀川区,6.7,14.1,16.1,5.7,11.2,6.3
東成区,9.8,11.8,12,4.3,10.5,7.1
生野区,8.5,9.6,14,3.1,9.2,7
旭区,9.2,16.4,13.6,6.8,17.2,5.4
城東区,12.7,13.2,12.8,4.3,12.9,5.5
鶴見区,7,13.3,12.7,4.3,9.1,5.7
阿倍野区,11.1,12.6,12.9,5.4,11.5,6
住之江区,10.8,15,17.9,2.9,12.7,6.6
住吉区,11.1,15.6,15.3,5.9,15.6,6.1
東住吉区,11.7,16.4,17.1,5.4,11.3,6.7
平野区,11.2,15.9,16.4,5.9,10.4,7.1
西成区,12.6,16.7,25.3,10.4,11.5,13.1
