ATTR2,胃の悪性新生物_男,大腸の悪性新生物_男,肺の悪性新生物_男,乳房の悪性新生物_男,肝臓の悪性新生物_男
北区,26.8,20.4,42.5,0,20.1
都島区,26.8,28.7,45.8,0,18.4
福島区,34,29,47.7,0,25.1
此花区,36.7,27.8,65.2,0.4,21.1
中央区,28,15.7,46.2,0,22.7
西区,31,26,45,0,20.7
港区,28.7,29.4,51.2,0,23.3
大正区,26.2,31.1,56.7,0,27.6
天王寺区,24.4,21.2,47.1,0,22.9
浪速区,37.9,29.7,49.9,0,32.5
西淀川区,36.4,25.6,47.7,0,27.8
淀川区,30.6,21.1,51.8,0,18.6
東淀川区,27.8,21.9,48,0,22.9
東成区,25.4,21.3,42.8,0,21.3
生野区,24.4,25.6,43.3,0,23.2
旭区,22.6,26.9,50,0,25.1
城東区,32.1,24.2,45.8,0.2,21.4
鶴見区,31,22.4,54,0,24.1
阿倍野区,27.2,25.8,45.7,0,15.9
住之江区,27.9,26.6,49.3,0,24
住吉区,28.2,27.9,53.3,0,18.1
東住吉区,30.2,21.4,52.5,0.4,22.1
平野区,28.2,26.1,50.1,0,24.7
西成区,32.6,31.2,49.7,0.1,30.3
