ATTR2,年齢,男集計対象者数,男喫煙者数,男喫煙率,女集計対象者数,女喫煙者数,女喫煙率
北区,40-74歳,1318,360,27.3,1991,224,11.3
都島区,40-74歳,1526,408,26.7,2095,210,10
福島区,40-74歳,833,238,28.6,1273,116,9.1
此花区,40-74歳,1170,371,31.7,1454,148,10.2
中央区,40-74歳,951,272,28.6,1499,182,12.1
西区,40-74歳,923,249,27,1295,151,11.7
港区,40-74歳,1117,342,30.6,1508,148,9.8
大正区,40-74歳,1211,387,32,1560,172,11
天王寺区,40-74歳,852,198,23.2,1291,115,8.9
浪速区,40-74歳,677,246,36.3,895,156,17.4
西淀川区,40-74歳,1704,670,39.3,2253,281,12.5
淀川区,40-74歳,2269,671,29.6,3235,350,10.8
東淀川区,40-74歳,2657,793,29.8,3724,343,9.2
東成区,40-74歳,1177,351,29.8,1599,184,11.5
生野区,40-74歳,2087,653,31.3,2808,329,11.7
旭区,40-74歳,1381,377,27.3,1930,149,7.7
城東区,40-74歳,2537,709,27.9,3615,303,8.4
鶴見区,40-74歳,1620,456,28.1,2231,195,8.7
阿倍野区,40-74歳,1452,407,28,2171,162,7.5
住之江区,40-74歳,2063,591,28.6,2799,295,10.5
住吉区,40-74歳,2500,765,30.6,3461,361,10.4
東住吉区,40-74歳,2078,590,28.4,2871,250,8.7
平野区,40-74歳,2996,924,30.8,4402,468,10.6
西成区,40-74歳,1592,560,35.2,1827,303,16.6
